candidate_id,ticker,company,acquirer,announcement_date,announcement_year,source_url,source_type,filing_type,accession_number,deal_type_guess,inclusion_status,inclusion_reason,exclusion_reason,confidence,existing_case_id_if_any,already_in_first_50,already_in_batch_51_70,needs_date_backfill,needs_standard_deal_confirmation,fmp_profile_status,notes
RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,MorphoSys,,2021,https://efts.sec.gov/LATEST/search-index?q=CNST+%22Constellation+Pharmaceuticals%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0102-ACQUIRED-CNST,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0103-ACQUIRED-STML,STML,Stemline Therapeutics,Menarini,,2021,https://efts.sec.gov/LATEST/search-index?q=STML+%22Stemline+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0103-ACQUIRED-STML,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0131-ACQUIRED-LMNX,LMNX,Luminex Corporation,DiaSorin,,2021,https://efts.sec.gov/LATEST/search-index?q=LMNX+%22Luminex+Corporation%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0131-ACQUIRED-LMNX,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0132-ACQUIRED-TBIO,TBIO,Translate Bio,Sanofi,,2021,https://efts.sec.gov/LATEST/search-index?q=TBIO+%22Translate+Bio%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0132-ACQUIRED-TBIO,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0046-ACQUIRED-ATRS,ATRS,Antares Pharma,Halozyme,2022-04-12,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATRS&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0046-ACQUIRED-ATRS,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0047-ACQUIRED-AVEO,AVEO,AVEO Oncology,,2022-10-18,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVEO&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0047-ACQUIRED-AVEO,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0048-ACQUIRED-BHVN,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Pfizer,2022-05-09,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHVN&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0048-ACQUIRED-BHVN,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0049-ACQUIRED-CCXI,CCXI,"ChemoCentryx, Inc.",Amgen,2022-08-03,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCXI&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0049-ACQUIRED-CCXI,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0050-ACQUIRED-CMPI,CMPI,Checkmate Pharmaceuticals,Pfizer,2022-04-18,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMPI&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0050-ACQUIRED-CMPI,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme,Ipsen,2022-06-27,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EPZM&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0051-ACQUIRED-EPZM,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0052-ACQUIRED-FMTX,FMTX,"Forma Therapeutics Holdings, Inc.",Novo Nordisk,2022-09-01,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMTX&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0052-ACQUIRED-FMTX,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0053-ACQUIRED-GBT,GBT,"Global Blood Therapeutics, Inc.",Pfizer,2022-08-08,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GBT&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0053-ACQUIRED-GBT,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0054-ACQUIRED-IMGO,IMGO,Imago BioSciences,Merck,2022-11-21,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IMGO&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0054-ACQUIRED-IMGO,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma,Viatris,2022-11-08,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OYST&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0055-ACQUIRED-OYST,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0056-ACQUIRED-SRRA,SRRA,Sierra Oncology,GSK,2022-04-13,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRRA&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0056-ACQUIRED-SRRA,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0057-ACQUIRED-TPTX,TPTX,"Turning Point Therapeutics, Inc.",Bristol Myers Squibb,2022-06-03,2022,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TPTX&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0057-ACQUIRED-TPTX,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0058-ACQUIRED-BLU,BLU,BELLUS Health Inc.,GSK,2023-04-18,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLU&type=8-K&dateb=&owner=include&count=40,merger 6-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0058-ACQUIRED-BLU,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0059-ACQUIRED-CINC,CINC,"CinCor Pharma, Inc.",AstraZeneca,2023-01-09,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINC&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,TENDER_OFFER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0059-ACQUIRED-CINC,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0060-ACQUIRED-CTIC,CTIC,CTI BioPharma,SOBI,2023-05-10,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTIC&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0060-ACQUIRED-CTIC,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0061-ACQUIRED-DICE,DICE,"DICE Therapeutics, Inc.",Eli Lilly,2023-06-20,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DICE&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,TENDER_OFFER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0061-ACQUIRED-DICE,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0062-ACQUIRED-HARP,HARP,Harpoon Therapeutics,,2024-01-08,2024,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HARP&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0062-ACQUIRED-HARP,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0063-ACQUIRED-ISEE,ISEE,"IVERIC bio, Inc.",Astellas,2023-05-01,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISEE&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,TENDER_OFFER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0063-ACQUIRED-ISEE,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0064-ACQUIRED-RETA,RETA,"Reata Pharmaceuticals, Inc.",Biogen,2023-07-31,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RETA&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0064-ACQUIRED-RETA,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0065-ACQUIRED-RXDX,RXDX,"Prometheus Biosciences, Inc.",Merck,,2023,https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Prometheus+Biosciences%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,MERGER,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0065-ACQUIRED-RXDX,FALSE,TRUE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found. Already part of Batch 51-70 workflow.
RHC-0066-ACQUIRED-ZYNE,ZYNE,"Zynerba Pharmaceuticals, Inc.",Harmony,2023-08-14,2023,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZYNE&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0066-ACQUIRED-ZYNE,FALSE,TRUE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of Batch 51-70 workflow.
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,Ipsen,,2023,https://efts.sec.gov/LATEST/search-index?q=ALBO+%22Albireo+Pharma%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0104-ACQUIRED-ALBO,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,Amgen,,2023,https://efts.sec.gov/LATEST/search-index?q=HZNP+%22Horizon+Therapeutics+plc%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,ACQUISITION,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0105-ACQUIRED-HZNP,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0106-ACQUIRED-SGEN,SGEN,Seagen Inc.,Pfizer,,2023,https://efts.sec.gov/LATEST/search-index?q=SGEN+%22Seagen+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,MERGER,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0106-ACQUIRED-SGEN,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0107-ACQUIRED-SNDX,SNDX,Syndax Pharmaceuticals,Incyte,,2023,https://efts.sec.gov/LATEST/search-index?q=SNDX+%22Syndax+Pharmaceuticals%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0107-ACQUIRED-SNDX,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0108-ACQUIRED-VECT,VECT,VectivBio Holding,Ironwood,,2023,https://efts.sec.gov/LATEST/search-index?q=VECT+%22VectivBio+Holding%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0108-ACQUIRED-VECT,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0133-ACQUIRED-DCPH,DCPH,Deciphera Pharmaceuticals,EDGAR possible,,2023,https://efts.sec.gov/LATEST/search-index?q=DCPH+%22Deciphera+Pharmaceuticals%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,LOCAL_CANDIDATE_QUERY,,,ACQUISITION,EXCLUDE_DUPLICATE,,Duplicate ticker/company candidate; retained RHC-0071-ACQUIRED-DCPH as the stronger source/date row.,LOW,RHC-0133-ACQUIRED-DCPH,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found. Duplicate of RHC-0071-ACQUIRED-DCPH.
