case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0077-ACQUIRED-LBPH,LBPH,"Longboard Pharmaceuticals, Inc.",2024-10-15,2024-08-01,8-K,0000950170-24-089285,https://www.sec.gov/Archives/edgar/data/1832168/000095017024089285/0000950170-24-089285-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-01-20,8-K,0001679363-23-000002,https://www.sec.gov/Archives/edgar/data/1679363/000167936323000002/0001679363-23-000002-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-02-13,8-K,0001104659-23-019132,https://www.sec.gov/Archives/edgar/data/1679363/000110465923019132/0001104659-23-019132-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-02-23,10-K,0001679363-23-000011,https://www.sec.gov/Archives/edgar/data/1679363/000167936323000011/0001679363-23-000011-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-02-23,8-K,0001679363-23-000008,https://www.sec.gov/Archives/edgar/data/1679363/000167936323000008/0001679363-23-000008-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-04-21,DEF 14A,0001679363-23-000029,https://www.sec.gov/Archives/edgar/data/1679363/000167936323000029/0001679363-23-000029-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-04-25,10-Q,0001679363-23-000040,https://www.sec.gov/Archives/edgar/data/1679363/000167936323000040/0001679363-23-000040-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-04-25,8-K,0001104659-23-049297,https://www.sec.gov/Archives/edgar/data/1679363/000110465923049297/0001104659-23-049297-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-04-25,8-K,0001679363-23-000039,https://www.sec.gov/Archives/edgar/data/1679363/000167936323000039/0001679363-23-000039-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2023-05-03,8-K,0001104659-23-055258,https://www.sec.gov/Archives/edgar/data/1679363/000110465923055258/0001104659-23-055258-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
